,text,date,retweets,quoted-tweets
0,An apocalypse of Cybertrucks performs epic synchronized light show in Las Vegas  📸 @Teslalightshows,2024-09-16 15:04:00 UTC+0000,https://twitter.com/Tesla/status/1835696204081979590#m,No text available
1,the full intro from @elonmusk's conversation with the besties at all-in summit,2024-09-17 03:55:00 UTC+0000,https://twitter.com/theallinpod/status/1835890178323333367#m,No text available
2,Interesting,2024-09-17 04:57:00 UTC+0000,No retweet,"""this is the best panel i've ever been on in my life."" - @jason   an incredible discussion on geopolitics with @mearsheimerj and jeffrey sachs  (0:00) @davidsacks intros john mearsheimer and jeffrey sachs  (1:10) what is the deep state party, and what are their goals?  (13:35) should america leverage its power against dictators?  (21:45) the china threat: avoiding the escalatory path to nuclear war  (35:47) india's growing role; are china's wounds self-inflicted?  (46:45) conflict in the middle east and the path to peace"
3,Troubling,2024-09-17 03:04:00 UTC+0000,No retweet,"BREAKING: Hillary Clinton suggests jailing Americans for posting ""misinformation""  ""There needs to be deterrence"""
4,"Giga Texas, Tesla Headquarters",2024-09-17 02:23:00 UTC+0000,No retweet,No text available
5,"Donald Trump on Elon Musk:  ""We were getting lapped in space by China and by Russia and now we are the leader in space. Elon Musk has done a fantastic job, he’s my friend. He is doing an amazing job.""",2024-09-17 00:56:00 UTC+0000,https://twitter.com/cb_doge/status/1835845196837454034#m,No text available
6,The incitement to hatred and violence against President Trump by the media and leading Democrats needs to stop.,2024-09-16 15:07:00 UTC+0000,No retweet,You know what’s getting really old? Having to have conversations with my 5 young children about radical leftist trying to kill their grandfather. No person should ever have to do this in America or anywhere else and yet I had to have that conversation five times again yesterday.
7,You can fine-tune your 𝕏 ‘For You’ feed by engaging with and sharing posts that interest you.   It’s a simple way to make your feed more relevant to you!,2024-09-16 14:43:00 UTC+0000,https://twitter.com/cb_doge/status/1835690918852415795#m,No text available
8,Good review. This movie sounds like it asks good questions and is funny.,2024-09-16 15:02:00 UTC+0000,No retweet,Most mainstream critics have ignored our film. But Jeremy Jahns had the guts to not only review it but even praise it. His review also has over 300 thousand views in less than a day. Maybe that will inspire other major critics to follow his lead.   https://piped.video/watch?v=hh3p_MsIW_A
9,NEWS: @Starlink systems are being deployed by the Polish government to restore critical connectivity for emergency services as southern Poland faces devastating floods.,2024-09-16 11:56:00 UTC+0000,https://twitter.com/ajtourville/status/1835649032930157007#m,No text available
